Entity,Code,Year,Terrorist attacks Unknown,Terrorist attacks Hijacking,Terrorist attacks Hostage Taking (Barricade Incident),Terrorist attacks Unarmed Assault,Terrorist attacks Facility/Infrastructure Attack,Terrorist attacks Hostage Taking (Kidnapping),Terrorist attacks Assassination,Terrorist attacks Armed Assault,Terrorist attacks Bombing/Explosion,Terrorist attacks,Terrorism deaths
Czechia,CZE,1973,0,0,0,0,0,0,0,0,0,0,0
Kazakhstan,KAZ,1973,0,0,0,0,0,0,0,0,0,0,0
Tajikistan,TJK,1973,0,0,0,0,0,0,0,0,0,0,0
Russia,RUS,1973,0,0,0,0,0,0,0,0,0,0,0
Croatia,HRV,1973,0,0,0,0,0,0,0,0,0,0,0
Armenia,ARM,1973,0,0,0,0,0,0,0,0,0,0,0
Slovakia,SVK,1973,0,0,0,0,0,0,0,0,0,0,0
Latvia,LVA,1973,0,0,0,0,0,0,0,0,0,0,0
Turkmenistan,TKM,1973,0,0,0,0,0,0,0,0,0,0,0
Uzbekistan,UZB,1973,0,0,0,0,0,0,0,0,0,0,0
Serbia,SRB,1973,0,0,0,0,0,0,0,0,0,0,0
Azerbaijan,AZE,1973,0,0,0,0,0,0,0,0,0,0,0
Serbia and Montenegro,OWID_SRM,1973,0,0,0,0,0,0,0,0,0,0,0
Montenegro,MNE,1973,0,0,0,0,0,0,0,0,0,0,0
Estonia,EST,1973,0,0,0,0,0,0,0,0,0,0,0
Ukraine,UKR,1973,0,0,0,0,0,0,0,0,0,0,0
Georgia,GEO,1973,0,0,0,0,0,0,0,0,0,0,0
Germany,DEU,1973,0,0,0,0,0,0,0,0,0,0,0
Bosnia and Herzegovina,BIH,1973,0,0,0,0,0,0,0,0,0,0,0
Belarus,BLR,1973,0,0,0,0,0,0,0,0,0,0,0
Kyrgyzstan,KGZ,1973,0,0,0,0,0,0,0,0,0,0,0
Eritrea,ERI,1973,0,0,0,0,0,0,0,0,0,0,0
Slovenia,SVN,1973,0,0,0,0,0,0,0,0,0,0,0
Kosovo,OWID_KOS,1973,0,0,0,0,0,0,0,0,0,0,0
Lithuania,LTU,1973,0,0,0,0,0,0,0,0,0,0,0
Moldova,MDA,1973,0,0,0,0,0,0,0,0,0,0,0
Afghanistan,AFG,1973,1,0,0,0,0,0,0,0,0,1,0
Argentina,ARG,1973,0,1,1,0,3,20,15,10,10,60,16
Austria,AUT,1973,0,0,0,0,0,1,0,1,0,2,0
Belgium,BEL,1973,0,0,0,0,1,0,0,0,0,1,0
Brazil,BRA,1973,0,0,0,0,1,0,0,0,1,2,0
Chile,CHL,1973,0,0,0,0,2,0,0,0,5,7,0
Colombia,COL,1973,0,1,0,0,0,5,0,0,0,6,0
Cyprus,CYP,1973,0,0,0,0,0,0,1,2,0,3,1
Dominican Republic,DOM,1973,0,0,0,0,0,2,1,0,0,3,0
Ecuador,ECU,1973,0,0,0,0,0,0,0,0,1,1,0
El Salvador,SLV,1973,0,0,0,0,0,0,0,0,1,1,0
Ethiopia,ETH,1973,0,0,0,0,0,1,0,0,0,1,0
France,FRA,1973,0,0,1,2,1,0,2,0,8,14,5
Greece,GRC,1973,0,0,0,0,0,0,0,4,7,11,5
Haiti,HTI,1973,0,0,0,0,0,1,0,0,0,1,0
Honduras,HND,1973,0,0,0,1,0,0,0,0,0,1,0
Iran,IRN,1973,0,0,0,0,0,0,1,0,3,4,1
Ireland,IRL,1973,0,0,0,0,0,0,2,0,1,3,4
Israel,ISR,1973,0,0,0,0,0,0,0,0,1,1,2
Italy,ITA,1973,0,1,1,0,4,0,1,1,7,15,62
Japan,JPN,1973,0,0,0,0,2,0,0,0,0,2,0
Jordan,JOR,1973,0,0,0,0,0,0,0,1,0,1,0
Lebanon,LBN,1973,0,1,1,0,0,0,0,0,9,11,4
Malaysia,MYS,1973,0,0,0,0,0,0,0,0,1,1,0
Mexico,MEX,1973,0,0,0,0,0,3,0,0,3,6,1
Morocco,MAR,1973,0,0,0,0,0,0,0,1,1,2,0
Myanmar,MMR,1973,0,0,0,0,0,1,0,0,0,1,0
Netherlands,NLD,1973,0,1,0,0,0,0,0,0,0,1,1
New Zealand,NZL,1973,0,0,0,0,0,0,0,1,0,1,0
Peru,PER,1973,0,0,0,0,0,0,0,0,3,3,0
Portugal,PRT,1973,0,0,0,0,0,0,1,0,0,1,0
Spain,ESP,1973,0,0,0,0,2,1,3,7,8,21,6
Sudan,SDN,1973,0,0,0,0,0,1,0,0,0,1,3
Switzerland,CHE,1973,0,0,0,0,0,0,0,0,2,2,0
United Kingdom,GBR,1973,0,2,1,0,3,3,126,7,47,189,210
United States,USA,1973,0,0,2,0,4,3,8,22,19,58,45
Venezuela,VEN,1973,0,1,0,0,0,1,0,0,2,4,0
West Germany,OWID_GFR,1973,0,0,0,0,13,0,1,5,8,27,1
World,OWID_WRL,1973,1,8,7,2,36,40,162,62,148,466,370
Yugoslavia,OWID_YGS,1973,0,0,0,0,0,0,0,0,1,1,1
Zambia,ZMB,1973,0,0,0,0,0,0,1,0,0,1,2
Albania,ALB,1973,0,0,0,0,0,0,0,0,0,0,0
Algeria,DZA,1973,0,0,0,0,0,0,0,0,0,0,0
Andorra,AND,1973,0,0,0,0,0,0,0,0,0,0,0
Angola,AGO,1973,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda,ATG,1973,0,0,0,0,0,0,0,0,0,0,0
Australia,AUS,1973,0,0,0,0,0,0,0,0,0,0,0
Bahamas,BHS,1973,0,0,0,0,0,0,0,0,0,0,0
Bahrain,BHR,1973,0,0,0,0,0,0,0,0,0,0,0
Bangladesh,BGD,1973,0,0,0,0,0,0,0,0,0,0,0
Barbados,BRB,1973,0,0,0,0,0,0,0,0,0,0,0
Belize,BLZ,1973,0,0,0,0,0,0,0,0,0,0,0
Benin,BEN,1973,0,0,0,0,0,0,0,0,0,0,0
Bhutan,BTN,1973,0,0,0,0,0,0,0,0,0,0,0
Bolivia,BOL,1973,0,0,0,0,0,0,0,0,0,0,0
Botswana,BWA,1973,0,0,0,0,0,0,0,0,0,0,0
Brunei,BRN,1973,0,0,0,0,0,0,0,0,0,0,0
Bulgaria,BGR,1973,0,0,0,0,0,0,0,0,0,0,0
Burkina Faso,BFA,1973,0,0,0,0,0,0,0,0,0,0,0
Burundi,BDI,1973,0,0,0,0,0,0,0,0,0,0,0
Cambodia,KHM,1973,0,0,0,0,0,0,0,0,0,0,0
Cameroon,CMR,1973,0,0,0,0,0,0,0,0,0,0,0
Canada,CAN,1973,0,0,0,0,0,0,0,0,0,0,0
Central African Republic,CAF,1973,0,0,0,0,0,0,0,0,0,0,0
Chad,TCD,1973,0,0,0,0,0,0,0,0,0,0,0
China,CHN,1973,0,0,0,0,0,0,0,0,0,0,0
Comoros,COM,1973,0,0,0,0,0,0,0,0,0,0,0
Costa Rica,CRI,1973,0,0,0,0,0,0,0,0,0,0,0
Cote d'Ivoire,CIV,1973,0,0,0,0,0,0,0,0,0,0,0
Cuba,CUB,1973,0,0,0,0,0,0,0,0,0,0,0
Czechoslovakia,OWID_CZS,1973,0,0,0,0,0,0,0,0,0,0,0
Democratic Republic of Congo,COD,1973,0,0,0,0,0,0,0,0,0,0,0
Denmark,DNK,1973,0,0,0,0,0,0,0,0,0,0,0
Djibouti,DJI,1973,0,0,0,0,0,0,0,0,0,0,0
Dominica,DMA,1973,0,0,0,0,0,0,0,0,0,0,0
East Germany,OWID_GDR,1973,0,0,0,0,0,0,0,0,0,0,0
East Timor,TLS,1973,0,0,0,0,0,0,0,0,0,0,0
Egypt,EGY,1973,0,0,0,0,0,0,0,0,0,0,0
Equatorial Guinea,GNQ,1973,0,0,0,0,0,0,0,0,0,0,0
Eswatini,SWZ,1973,0,0,0,0,0,0,0,0,0,0,0
Falkland Islands,FLK,1973,0,0,0,0,0,0,0,0,0,0,0
Fiji,FJI,1973,0,0,0,0,0,0,0,0,0,0,0
Finland,FIN,1973,0,0,0,0,0,0,0,0,0,0,0
French Guiana,GUF,1973,0,0,0,0,0,0,0,0,0,0,0
French Polynesia,PYF,1973,0,0,0,0,0,0,0,0,0,0,0
Gabon,GAB,1973,0,0,0,0,0,0,0,0,0,0,0
Gambia,GMB,1973,0,0,0,0,0,0,0,0,0,0,0
Ghana,GHA,1973,0,0,0,0,0,0,0,0,0,0,0
Grenada,GRD,1973,0,0,0,0,0,0,0,0,0,0,0
Guadeloupe,GLP,1973,0,0,0,0,0,0,0,0,0,0,0
Guatemala,GTM,1973,0,0,0,0,0,0,0,0,0,0,0
Guinea,GIN,1973,0,0,0,0,0,0,0,0,0,0,0
Guinea-Bissau,GNB,1973,0,0,0,0,0,0,0,0,0,0,0
Guyana,GUY,1973,0,0,0,0,0,0,0,0,0,0,0
Hong Kong,HKG,1973,0,0,0,0,0,0,0,0,0,0,0
Hungary,HUN,1973,0,0,0,0,0,0,0,0,0,0,0
Iceland,ISL,1973,0,0,0,0,0,0,0,0,0,0,0
India,IND,1973,0,0,0,0,0,0,0,0,0,0,0
Indonesia,IDN,1973,0,0,0,0,0,0,0,0,0,0,0
Iraq,IRQ,1973,0,0,0,0,0,0,0,0,0,0,0
Jamaica,JAM,1973,0,0,0,0,0,0,0,0,0,0,0
Kenya,KEN,1973,0,0,0,0,0,0,0,0,0,0,0
Kuwait,KWT,1973,0,0,0,0,0,0,0,0,0,0,0
Laos,LAO,1973,0,0,0,0,0,0,0,0,0,0,0
Lesotho,LSO,1973,0,0,0,0,0,0,0,0,0,0,0
Liberia,LBR,1973,0,0,0,0,0,0,0,0,0,0,0
Libya,LBY,1973,0,0,0,0,0,0,0,0,0,0,0
Luxembourg,LUX,1973,0,0,0,0,0,0,0,0,0,0,0
Macao,MAC,1973,0,0,0,0,0,0,0,0,0,0,0
Madagascar,MDG,1973,0,0,0,0,0,0,0,0,0,0,0
Malawi,MWI,1973,0,0,0,0,0,0,0,0,0,0,0
Maldives,MDV,1973,0,0,0,0,0,0,0,0,0,0,0
Mali,MLI,1973,0,0,0,0,0,0,0,0,0,0,0
Malta,MLT,1973,0,0,0,0,0,0,0,0,0,0,0
Martinique,MTQ,1973,0,0,0,0,0,0,0,0,0,0,0
Mauritania,MRT,1973,0,0,0,0,0,0,0,0,0,0,0
Mauritius,MUS,1973,0,0,0,0,0,0,0,0,0,0,0
Mozambique,MOZ,1973,0,0,0,0,0,0,0,0,0,0,0
Namibia,NAM,1973,0,0,0,0,0,0,0,0,0,0,0
Nepal,NPL,1973,0,0,0,0,0,0,0,0,0,0,0
New Caledonia,NCL,1973,0,0,0,0,0,0,0,0,0,0,0
Nicaragua,NIC,1973,0,0,0,0,0,0,0,0,0,0,0
Niger,NER,1973,0,0,0,0,0,0,0,0,0,0,0
Nigeria,NGA,1973,0,0,0,0,0,0,0,0,0,0,0
North Korea,PRK,1973,0,0,0,0,0,0,0,0,0,0,0
Norway,NOR,1973,0,0,0,0,0,0,0,0,0,0,0
Pakistan,PAK,1973,0,0,0,0,0,0,0,0,0,0,0
Panama,PAN,1973,0,0,0,0,0,0,0,0,0,0,0
Papua New Guinea,PNG,1973,0,0,0,0,0,0,0,0,0,0,0
Paraguay,PRY,1973,0,0,0,0,0,0,0,0,0,0,0
Philippines,PHL,1973,0,0,0,0,0,0,0,0,0,0,0
Poland,POL,1973,0,0,0,0,0,0,0,0,0,0,0
Qatar,QAT,1973,0,0,0,0,0,0,0,0,0,0,0
Romania,ROU,1973,0,0,0,0,0,0,0,0,0,0,0
Rwanda,RWA,1973,0,0,0,0,0,0,0,0,0,0,0
Saint Kitts and Nevis,KNA,1973,0,0,0,0,0,0,0,0,0,0,0
Saint Lucia,LCA,1973,0,0,0,0,0,0,0,0,0,0,0
Saudi Arabia,SAU,1973,0,0,0,0,0,0,0,0,0,0,0
Senegal,SEN,1973,0,0,0,0,0,0,0,0,0,0,0
Seychelles,SYC,1973,0,0,0,0,0,0,0,0,0,0,0
Sierra Leone,SLE,1973,0,0,0,0,0,0,0,0,0,0,0
Singapore,SGP,1973,0,0,0,0,0,0,0,0,0,0,0
Solomon Islands,SLB,1973,0,0,0,0,0,0,0,0,0,0,0
Somalia,SOM,1973,0,0,0,0,0,0,0,0,0,0,0
South Africa,ZAF,1973,0,0,0,0,0,0,0,0,0,0,0
South Korea,KOR,1973,0,0,0,0,0,0,0,0,0,0,0
South Sudan,SSD,1973,0,0,0,0,0,0,0,0,0,0,0
Sri Lanka,LKA,1973,0,0,0,0,0,0,0,0,0,0,0
Suriname,SUR,1973,0,0,0,0,0,0,0,0,0,0,0
Sweden,SWE,1973,0,0,0,0,0,0,0,0,0,0,0
Syria,SYR,1973,0,0,0,0,0,0,0,0,0,0,0
Taiwan,TWN,1973,0,0,0,0,0,0,0,0,0,0,0
Tanzania,TZA,1973,0,0,0,0,0,0,0,0,0,0,0
Thailand,THA,1973,0,0,0,0,0,0,0,0,0,0,0
Togo,TGO,1973,0,0,0,0,0,0,0,0,0,0,0
Trinidad and Tobago,TTO,1973,0,0,0,0,0,0,0,0,0,0,0
Tunisia,TUN,1973,0,0,0,0,0,0,0,0,0,0,0
Turkey,TUR,1973,0,0,0,0,0,0,0,0,0,0,0
USSR,OWID_USS,1973,0,0,0,0,0,0,0,0,0,0,0
Uganda,UGA,1973,0,0,0,0,0,0,0,0,0,0,0
United Arab Emirates,ARE,1973,0,0,0,0,0,0,0,0,0,0,0
Uruguay,URY,1973,0,0,0,0,0,0,0,0,0,0,0
Vanuatu,VUT,1973,0,0,0,0,0,0,0,0,0,0,0
